1,1,29,5
2,1,22,5
3,1,32,15
4,2,32,15
5,2,14,20
6,2,15,15
7,2,25,10
8,3,23,15
9,3,8,30
10,4,23,50
11,5,30,10
12,5,21,35
13,6,18,30
14,6,11,30
15,6,31,15
16,7,8,10
17,8,27,5
18,8,9,50
19,8,20,60
20,8,17,40
21,9,20,10
22,9,10,20
23,9,28,15
24,11,12,15
25,11,31,25
26,11,33,30
27,12,31,40
28,12,33,20
29,13,14,20
30,13,32,25
31,14,15,10
32,14,32,12
33,16,19,90
34,17,26,50
35,17,18,30
36,18,27,80
37,18,21,20
38,18,31,45
39,19,23,10
40,20,23,10
41,20,28,5
42,21,29,5
43,22,32,20
44,22,33,26
45,24,33,10
46,29,32,20
47,30,32,15
48,31,33,50
49,32,33,45
